i,id,time,hz,n,sd,ci,Mussel_ID,Rep,Length(mm),Time_Machine,Time_real,Sensor_ID,Line_ID,Beaker_ID,Group,P_Status,Status,Intensity,Note,bpm
6,Mussel_11,2025-06-24T10:00:00Z,0.492,5,0.0530207506548144,0.103920671283436,G18,2,33,9:36-10:06,11:36-12:06,B,B1,9,CM,infected,infected,11,NA,29.52
6,Mussel_12,2025-06-24T10:00:00Z,0.486,5,0.130584072535666,0.255944782169905,P7,2,30.8,9:36-10:06,11:36-12:06,B,B2,10,CM,uninfected,uninfected,0,NA,29.16
6,Mussel_13,2025-06-24T10:00:00Z,0.489,5,0.0184390889145858,0.0361406142725881,G52,2,31.5,9:36-10:06,11:36-12:06,B,B3,11,HT,infected,infected,8,NA,29.34
6,Mussel_14,2025-06-24T10:00:00Z,0.421,5,0.0957324396429967,0.187635581700273,P38,2,34.6,9:36-10:06,11:36-12:06,B,B4,12,HT,uninfected,uninfected,0,NA,25.259999999999998
6,Mussel_15,2025-06-24T10:00:00Z,0.454,5,0.117435088453154,0.230172773368181,G35,2,34.2,9:36-10:06,11:36-12:06,B,B5,13,HS,infected,infected,30,NA,27.240000000000002
6,Mussel_16,2025-06-24T10:00:00Z,0.49,5,0.108358202273755,0.21238207645656,P33,2,29.8,9:36-10:06,11:36-12:06,B,B6,14,HS,uninfected,uninfected,0,NA,29.4
6,Mussel_17,2025-06-24T10:00:00Z,0.472,5,0.105557093556047,0.206891903369852,G43,2,33.1,9:36-10:06,11:36-12:06,B,B7,15,Control,infected,infected,26,NA,28.32
6,Mussel_18,2025-06-24T10:00:00Z,0.455,5,0.0161802348561447,0.0317132603180436,P4,2,28.9,9:36-10:06,11:36-12:06,B,B8,16,Control,uninfected,uninfected,0,NA,27.3
1,Mussel_21,2025-06-24T10:10:00Z,0.261,3,0.0635714820759539,0.12460010486887001,G23,3,30,10:11-10:41,12:11-12:41,C,C1,17,CM,infected,infected,23,NA,15.66
1,Mussel_22,2025-06-24T10:10:00Z,0.208,3,0.0931826164045634,0.182637928152944,B91,3,30.8,10:11-10:41,12:11-12:41,C,C2,18,CM,uninfected,uninfected,0,NA,12.479999999999999
1,Mussel_23,2025-06-24T10:10:00Z,0.157,3,0.0702092111715645,0.137610053896266,G12,3,33.4,10:11-10:41,12:11-12:41,C,C3,19,HS,infected,infected,37,NA,9.42
1,Mussel_24,2025-06-24T10:10:00Z,0.239,3,0.0774402995861974,0.151782987188947,B38,3,30.9,10:11-10:41,12:11-12:41,C,C4,20,HS,uninfected,uninfected,0,NA,14.34
1,Mussel_25,2025-06-24T10:10:00Z,0.147,3,0.0228108161479008,0.0447091996498856,G68,3,32.1,10:11-10:41,12:11-12:41,C,C5,21,HT,infected,infected,4,NA,8.82
1,Mussel_26,2025-06-24T10:10:00Z,0.215,3,0.0578734251045619,0.113431913204941,B18,3,30.2,10:11-10:41,12:11-12:41,C,C6,22,HT,uninfected,uninfected,0,NA,12.9
1,Mussel_27,2025-06-24T10:10:00Z,0.212,3,0.0160104132780304,0.0313804100249397,G86,3,31,10:11-10:41,12:11-12:41,C,C7,23,Control,infected,infected,17,NA,12.719999999999999
1,Mussel_28,2025-06-24T10:10:00Z,0.123,3,0.0739278927965172,0.144898669881174,B56,3,34.6,10:11-10:41,12:11-12:41,C,C8,24,Control,uninfected,uninfected,0,NA,7.38
2,Mussel_21,2025-06-24T10:15:00Z,0.279,5,0.180328034426153,0.353442947475261,G23,3,30,10:11-10:41,12:11-12:41,C,C1,17,CM,infected,infected,23,NA,16.740000000000002
2,Mussel_22,2025-06-24T10:15:00Z,0.543,5,0.134051482647526,0.262740905989151,B91,3,30.8,10:11-10:41,12:11-12:41,C,C2,18,CM,uninfected,uninfected,0,NA,32.580000000000005
2,Mussel_23,2025-06-24T10:15:00Z,0.288,5,0.0991176069121929,0.194270509547898,G12,3,33.4,10:11-10:41,12:11-12:41,C,C3,19,HS,infected,infected,37,NA,17.279999999999998
2,Mussel_24,2025-06-24T10:15:00Z,0.26,5,0.127178221406025,0.24926931395581,B38,3,30.9,10:11-10:41,12:11-12:41,C,C4,20,HS,uninfected,uninfected,0,NA,15.600000000000001
2,Mussel_25,2025-06-24T10:15:00Z,0.452,5,0.152914355114227,0.299712136023885,G68,3,32.1,10:11-10:41,12:11-12:41,C,C5,21,HT,infected,infected,4,NA,27.12
2,Mussel_26,2025-06-24T10:15:00Z,0.22,5,0.261314561400623,0.512176540345221,B18,3,30.2,10:11-10:41,12:11-12:41,C,C6,22,HT,uninfected,uninfected,0,NA,13.2
