Mussel_ID;Rep;ArenaID;Byssus;Byssus_Threads;Start_Time;Aggregated;Type;Amax (%);k;Time;Cluster_Score;Group;Byssus_Threads;Length(mm);P_Status;Status;Intensity;Notes
P58;3;ControlA;3;0;42;yes;sustained;35,57;62,67;11:39-13:39;;Control;0;34.6;uninfected;uninfected;0;
P84;3;ControlA;3;0;42;yes;sustained;35,57;62,67;11:39-13:39;;Control;0;30.4;uninfected;uninfected;0;
G19;3;ControlB;5;1;94;yes;sustained;35,57;62,67;11:39-13:39;;Control;1;34.1;infected;infected;33;
G2;3;ControlB;5;1;94;yes;sustained;35,57;62,67;11:39-13:39;;Control;1;38;infected;infected;16;
G42;3;ControlB;5;0;94;yes;sustained;35,57;62,67;11:39-13:39;;Control;0;24.7;infected;infected;8;
G43;3;ControlB;5;3;94;yes;sustained;35,57;62,67;11:39-13:39;;Control;3;33.1;infected;infected;26;
G49;3;ControlB;5;0;94;yes;sustained;35,57;62,67;11:39-13:39;;Control;0;33.7;infected;infected;6;
G57;3;ControlB;5;0;94;yes;sustained;35,57;62,67;11:39-13:39;;Control;0;35.4;infected;infected;3;
Y85;3;ControlB;5;0;94;yes;sustained;35,57;62,67;11:39-13:39;;Control;0;30.4;infected;infected;17;
G4;3;HSA;9;4;12;yes;transient;NA;NA;11:39-13:39;;HS;4;32.5;infected;infected;27;
G53;3;HSA;9;0;12;yes;transient;NA;NA;11:39-13:39;;HS;0;32.2;infected;infected;3;
Y10;3;HSA;9;3;12;yes;transient;NA;NA;11:39-13:39;;HS;3;33.7;infected;infected;4;
Y18;3;HSA;9;0;12;yes;transient;NA;NA;11:39-13:39;;HS;0;31.5;infected;infected;16;
Y52;3;HSA;9;0;12;yes;transient;NA;NA;11:39-13:39;;HS;0;35.8;infected;infected;10;
Y80;3;HSA;9;0;12;yes;transient;NA;NA;11:39-13:39;;HS;0;35;infected;infected;12;
Y81;3;HSA;9;2;12;yes;transient;NA;NA;11:39-13:39;;HS;2;33.1;infected;infected;18;
B26;3;HSB;0;0;18;yes;transient;NA;NA;11:39-13:39;;HS;0;36.4;uninfected;uninfected;0;
B62;3;HSB;0;0;18;yes;transient;NA;NA;11:39-13:39;;HS;0;30;uninfected;uninfected;0;
B68;3;HSB;0;0;18;yes;transient;NA;NA;11:39-13:39;;HS;0;34.8;uninfected;uninfected;0;
B72;3;HSB;0;0;18;yes;transient;NA;NA;11:39-13:39;;HS;0;31.2;uninfected;uninfected;0;
B89;3;HSB;0;0;18;yes;transient;NA;NA;11:39-13:39;;HS;0;32.1;uninfected;uninfected;0;
P47;3;HSB;0;0;18;yes;transient;NA;NA;11:39-13:39;;HS;0;37.2;uninfected;uninfected;0;
P51;3;HSB;0;0;18;yes;transient;NA;NA;11:39-13:39;;HS;0;31;uninfected;uninfected;0;
