Mussel_ID;Time_Machine;Rep;Sensor_ID;Line_ID;Gt1_1;Window6(min);Gt1;Window1(min);Gt4;Window4(min);Gt5;Window5(min);Gt2;Window2(min);Gt3;Window3(min);Beaker_ID;Group;File_name;P_Status;Status;Length(mm);Intensity;Note
P61;15:10-15:40;15;B;2;0.491;0-30;0.493;0-30;0.585;5-30;0.602;10-30;0.0345;0-5;0.276;0-10;2;CM;00000021.DAT;uninfected;uninfected;33,5;0;
G28;15:10-15:40;15;B;6;0.690;0-30;0.692;0-30;0.775;5-30;0.784;10-30;0.278 ;0-5;0.508;0-10;3;HS;00000021.DAT;infected;infected;31,1;17;
P83;15:10-15:40;15;B;7;0.773;0-30;0.776;0-30;0.766;5-30;0.727;10-30;0.831 ;0-5;0.879;0-10;4;HS;00000021.DAT;uninfected;uninfected;31,1;0;
G12;15:10-15:40;15;A;1;0.0822;0-30;0.0696;0-30;0.0765;5-30;0.0874 ;10-30;0.0242;0-5;0.0285 ;0-10;5;HT;00000021.DAT;infected;infected;33,4;37;
P43;15:10-15:40;15;A;3;0.654;0-30;0.425;0-30;0.501;5-30;0.513;10-30;0.0436;0-5;0.247;0-10;6;HT;00000021.DAT;uninfected;uninfected;30,8;0;
G94;15:10-15:40;15;A;4;0.391;0-30;0.422;0-30;0.440;5-30;0.452;10-30;0.319 ;0-5;0.357;0-10;7;Control;00000021.DAT;infected;infected;34;19;
P29;15:10-15:40;15;A;7;0.719;0-30;0.719;0-30;0.853;5-30;0.975;10-30;0.0407;0-5;0.202;0-10;8;Control;00000021.DAT;uninfected;uninfected;34,1;0;
Y37;16:45-17:15;16;B;8;0.507;0-30;0.467;0-30;0.446;5-30;0.489;10-30;0.565;0-5;0.418;0-10;1;CM;00000022.DAT;infected;infected;28,9;2;
P45;16:45-17:15;16;B;2;0.360;0-30;0.303;0-30;0.210;5-30;0.132;10-30;0.772 ;0-5;0.647;0-10;2;CM;00000022.DAT;uninfected;uninfected;33,7;0;
G53;16:45-17:15;16;B;6;0.462;0-30;0.461;0-30;0.546 ;5-30;0.634;10-30;0.0206;0-5;0.107;0-10;3;HS;00000022.DAT;infected;infected;32,2;3;
P84;16:45-17:15;16;B;7;0.489;0-30;0.464;0-30;0.548;5-30;0.624;10-30;0.0413;0-5;0.143;0-10;4;HS;00000022.DAT;uninfected;uninfected;30,4;0;
G84;16:45-17:15;16;A;1;0.628;0-30;0.627;0-30;0.744 ;5-30;0.791;10-30;0.0348;0-5;0.296;0-10;5;HT;00000022.DAT;infected;infected;33,3;13;
P23;16:45-17:15;16;A;3;0.586;0-30;0.614;0-30;0.596;5-30;0.510 ;10-30;0.723;0-5;0.832;0-10;6;HT;00000022.DAT;uninfected;uninfected;34,5;0;
G68;16:45-17:15;16;A;4;0.458;0-30;0.454;0-30;0.374 ;5-30;0.246;10-30;0.868 ;0-5;0.879;0-10;7;Control;00000022.DAT;infected;infected;32,1;4;
P41;16:45-17:15;16;A;7;0.705;0-30;0.702;0-30;0.708;5-30;0.696;10-30;0.675;0-5;0.715;0-10;8;Control;00000022.DAT;uninfected;uninfected;28,9;0;
G58;10:55-11:25;17;B;8;0.121;0-30;0.116;0-30;0.125;5-30;0.149;10-30;0.0412;0-5;0.0343;0-10;1;CM;00000023.DAT;infected;infected;33,5;10;
P17;10:55-11:25;17;B;2;0.210;0-30;0.200;0-30;0.231;5-30;0.279;10-30;0.0233;0-5;0.0309;0-10;2;CM;00000023.DAT;uninfected;uninfected;29,1;0;
G27;10:55-11:25;17;B;6;0.585;0-30;0.572;0-30;0.505;5-30;0.422;10-30;0.929 ;0-5;0.882;0-10;3;HS;00000023.DAT;infected;infected;28,1;7;
P64;10:55-11:25;17;B;7;0.405;0-30;0.387;0-30;0.344;5-30;0.300 ;10-30;0.606 ;0-5;0.564;0-10;4;HS;00000023.DAT;uninfected;uninfected;30,6;0;
G39;10:55-11:25;17;A;1;0.504;0-30;0.500;0-30;0.576;5-30;0.690 ;10-30;0.111;0-5;0.116;0-10;5;HT;00000023.DAT;infected;infected;31;13;
P33;10:55-11:25;17;A;3;0.421;0-30;0.356;0-30;0.294;5-30;0.213 ;10-30;0.668;0-5;0.643;0-10;6;HT;00000023.DAT;uninfected;uninfected;29,8;0;
G19;10:55-11:25;17;A;4;0.575;0-30;0.519;0-30;0.530;5-30;0.517;10-30;0.459;0-5;0.521 ;0-10;7;Control;00000023.DAT;infected;infected;34,1;33;
P56;10:55-11:25;17;A;8;0.371;0-30;0.362;0-30;0.349;5-30;0.394;10-30;0.414;0-5;0.291;0-10;8;Control;00000023.DAT;uninfected;uninfected;28,4;0;
Y82;12:20-12:50;18;B;8;0.742;0-30;0.730;0-30;0.825;5-30;0.862;10-30;0.246 ;0-5;0.462;0-10;1;CM;00000024.DAT;infected;infected;32,4;13;
B59;12:20-12:50;18;B;2;0.624;0-30;0.562;0-30;0.558;5-30;0.544;10-30;0.575;0-5;0.596;0-10;2;CM;00000024.DAT;uninfected;uninfected;30;0;
Y77;12:20-12:50;18;B;6;0.547;0-30;0.542;0-30;0.631;5-30;0.682;10-30;0.0908;0-5;0.259;0-10;3;HS;00000024.DAT;infected;infected;29;3;
