Arena ID;Rep;Group;Time;Start_Time (min);Time;A(t);P_Status;Status;Notes
Control2;2;Control;11:35-13:35;;120;28,57%;uninfected;uninfected;
HS1;2;HS;11:35-13:35;NA;5;0,00%;uninfected;uninfected;
HS1;2;HS;11:35-13:35;;10;0,00%;uninfected;uninfected;
HS1;2;HS;11:35-13:35;;15;0,00%;uninfected;uninfected;
HS1;2;HS;11:35-13:35;;20;0,00%;uninfected;uninfected;
HS1;2;HS;11:35-13:35;;25;0,00%;uninfected;uninfected;
HS1;2;HS;11:35-13:35;;30;0,00%;uninfected;uninfected;
HS1;2;HS;11:35-13:35;;35;0,00%;uninfected;uninfected;
HS1;2;HS;11:35-13:35;;40;0,00%;uninfected;uninfected;
HS1;2;HS;11:35-13:35;;45;0,00%;uninfected;uninfected;
HS1;2;HS;11:35-13:35;;50;0,00%;uninfected;uninfected;
HS1;2;HS;11:35-13:35;;55;0,00%;uninfected;uninfected;
HS1;2;HS;11:35-13:35;;60;0,00%;uninfected;uninfected;
HS1;2;HS;11:35-13:35;;65;0,00%;uninfected;uninfected;
HS1;2;HS;11:35-13:35;;70;0,00%;uninfected;uninfected;
HS1;2;HS;11:35-13:35;;75;0,00%;uninfected;uninfected;
HS1;2;HS;11:35-13:35;;80;0,00%;uninfected;uninfected;
HS1;2;HS;11:35-13:35;;85;0,00%;uninfected;uninfected;
HS1;2;HS;11:35-13:35;;90;0,00%;uninfected;uninfected;
HS1;2;HS;11:35-13:35;;95;0,00%;uninfected;uninfected;
HS1;2;HS;11:35-13:35;;100;0,00%;uninfected;uninfected;
HS1;2;HS;11:35-13:35;;105;0,00%;uninfected;uninfected;
HS1;2;HS;11:35-13:35;;110;0,00%;uninfected;uninfected;
HS1;2;HS;11:35-13:35;;115;0,00%;uninfected;uninfected;
HS1;2;HS;11:35-13:35;;120;0,00%;uninfected;uninfected;
HS2;2;HS;11:35-13:35;7;5;0,00%;infected;infected;
HS2;2;HS;11:35-13:35;;10;28,57%;infected;infected;
HS2;2;HS;11:35-13:35;;15;28,57%;infected;infected;
HS2;2;HS;11:35-13:35;;20;28,57%;infected;infected;
HS2;2;HS;11:35-13:35;;25;28,57%;infected;infected;
HS2;2;HS;11:35-13:35;;30;0,00%;infected;infected;
HS2;2;HS;11:35-13:35;;35;0,00%;infected;infected;
HS2;2;HS;11:35-13:35;;40;0,00%;infected;infected;
HS2;2;HS;11:35-13:35;;45;0,00%;infected;infected;
HS2;2;HS;11:35-13:35;;50;0,00%;infected;infected;
HS2;2;HS;11:35-13:35;;55;0,00%;infected;infected;
HS2;2;HS;11:35-13:35;;60;0,00%;infected;infected;
HS2;2;HS;11:35-13:35;;65;0,00%;infected;infected;
HS2;2;HS;11:35-13:35;;70;0,00%;infected;infected;
HS2;2;HS;11:35-13:35;;75;0,00%;infected;infected;
HS2;2;HS;11:35-13:35;;80;0,00%;infected;infected;
HS2;2;HS;11:35-13:35;;85;0,00%;infected;infected;
HS2;2;HS;11:35-13:35;;90;0,00%;infected;infected;
HS2;2;HS;11:35-13:35;;95;0,00%;infected;infected;
HS2;2;HS;11:35-13:35;;100;0,00%;infected;infected;
HS2;2;HS;11:35-13:35;;105;0,00%;infected;infected;
HS2;2;HS;11:35-13:35;;110;0,00%;infected;infected;
HS2;2;HS;11:35-13:35;;115;0,00%;infected;infected;
HS2;2;HS;11:35-13:35;;120;0,00%;infected;infected;
HT1;2;HT;11:35-13:35;31;5;0,00%;infected;infected;
HT1;2;HT;11:35-13:35;;10;0,00%;infected;NA;died
HT1;2;HT;11:35-13:35;;15;0,00%;infected;infected;
HT1;2;HT;11:35-13:35;;20;0,00%;infected;infected;
HT1;2;HT;11:35-13:35;;25;0,00%;infected;infected;
HT1;2;HT;11:35-13:35;;30;0,00%;infected;infected;
HT1;2;HT;11:35-13:35;;35;57,14%;infected;infected;
HT1;2;HT;11:35-13:35;;40;28,57%;infected;infected;
HT1;2;HT;11:35-13:35;;45;28,57%;infected;NA;died
HT1;2;HT;11:35-13:35;;50;28,57%;infected;infected;
HT1;2;HT;11:35-13:35;;55;28,57%;infected;infected;
HT1;2;HT;11:35-13:35;;60;28,57%;infected;infected;
HT1;2;HT;11:35-13:35;;65;28,57%;infected;infected;
HT1;2;HT;11:35-13:35;;70;28,57%;infected;infected;
HT1;2;HT;11:35-13:35;;75;28,57%;infected;infected;
HT1;2;HT;11:35-13:35;;80;28,57%;infected;NA;died
HT1;2;HT;11:35-13:35;;85;28,57%;infected;infected;
HT1;2;HT;11:35-13:35;;90;28,57%;infected;infected;
HT1;2;HT;11:35-13:35;;95;28,57%;infected;infected;
HT1;2;HT;11:35-13:35;;100;28,57%;infected;infected;
HT1;2;HT;11:35-13:35;;105;57,14%;infected;infected;
HT1;2;HT;11:35-13:35;;110;57,14%;infected;infected;
HT1;2;HT;11:35-13:35;;115;57,14%;infected;infected;
HT1;2;HT;11:35-13:35;;120;57,14%;infected;infected;
HT2;2;HT;11:35-13:35;26;5;0,00%;uninfected;uninfected;
HT2;2;HT;11:35-13:35;;10;0,00%;uninfected;uninfected;
HT2;2;HT;11:35-13:35;;15;0,00%;uninfected;uninfected;
HT2;2;HT;11:35-13:35;;20;0,00%;uninfected;uninfected;
HT2;2;HT;11:35-13:35;;25;0,00%;uninfected;uninfected;
HT2;2;HT;11:35-13:35;;30;28,57%;uninfected;uninfected;
HT2;2;HT;11:35-13:35;;35;28,57%;uninfected;uninfected;
HT2;2;HT;11:35-13:35;;40;28,57%;uninfected;uninfected;
HT2;2;HT;11:35-13:35;;45;28,57%;uninfected;uninfected;
